id,name,address,city,country,zipcode,created_at,updated_at,mainstreet,crossstreet,key,owner,image,hotelID,source
1,Hotel Kolfuschgerhof,Via Ronn 7,Corvara in Badia,IT,39033,,,Via Ronn,Strada Janin,,Family Ebner,corvara-kolfuschgerhof.jpg,279861,expedia
2,Sporthotel Panorama,Strada Sciuz 1,Corvara in Badia,IT,39033,,,Strada Sciuz,Strada Arlara,,Family Costamoling,corvara-panorama.jpg,330337,expedia
3,Sassongher,Via Sassongher 45,Corvara in Badia,IT,39033,,,Strada Sassongher,Strada Aga,,Family Pescosta,corvara-sassongher.jpg,365511,expedia
4,Greif,Via Parus 15,Corvara in Badia,IT,39033,,,Strada Parus,Strada Sassongher,54,,corvara-greif.jpg,375621,expedia
5,Garni Delta,Via Roenn 11,Corvara in Badia,IT,39033,,,Strada Roenn,Strada Janin,,,corvara-garnidelta.jpg,419155,expedia
6,HOTEL SASSONGHER,Str Sassongher 45,Corvara in Badia,IT,39033,,,Strada Sassongher,Strada Aga,,Family Pescosta,corvara-sassongher.jpg,399390,expedia
7,Domina Home Miramonti,"Via Andrea Maffei, 1",Corvara in Badia,IT,39033,,,Strada Sassongher,Andrea Maffei,,,corvara-domina.jpg,228143,expedia
8,HOTEL LA PERLA,Strada Col Alt 105,Corvara in Badia,IT,39033,,,Strada Col Alt,Strada Rutort and Strada Arlara,52,Family Costa,corvara-laperla.jpg,235624,expedia
9,Sheraton New York Times Square Hotel,811 7th Ave,New York,US,10019,,,7th Avenue,52nd and 53rd,1780,Host Hotels and Resorts (HST),ny-sheraton.jpg,105816,expedia
10,New York Marriott Marquis,1535 Broadway,New York,US,10036,,,Broadway,45th and 46th,1957,Host Hotels and Resorts (HST),ny-marriottmarquis.jpg,115902,expedia
11,New York Marriott Downtown,85 West St,New York,US,10006,,,West Street,Albany and Liberty,497,Host Hotels and Resorts (HST),ny-marriottdowntown.jpg,124520,expedia
12,W New York,541 Lexington Ave,New York,US,10022,,,Lexington,49th and 50th,693,Host Hotels and Resorts (HST),ny-wlexington.jpg,126897,expedia
13,Four Seasons Hotel New York,57 E 57th Street,New York,US,10022,,,57th,Park and Madison,368,Ty Warner Hotels and Resorts LLC,ny-fs.jpg,131734,expedia
14,W New York - Union Square,201 Park Ave S,New York,US,10003,,,Park Avenue,17th and 18th,270,Host Hotels and Resorts (HST),ny-wunionsquare.jpg,174141,expedia
15,The St. Regis New York,2 East  55th St,New York,US,10022,,,55th,Madison and 5th,229,Starwood Hotels (HOT),ny-stregis.jpg,309378,expedia
16,W New York - Downtown,123 Washington Street,New York,US,10006,,,Albany,Washington and Greenwich,217,Moinian Group,ny-wdowntown.jpg,341910,expedia
17,The Westin New York Grand Central,212 East 42nd Street,New York,US,10017,,,42nd,2nd and 3rd,774,Host Hotels and Resorts (HST),ny-westingrandcentral.jpg,416820,expedia
18,Marriott San Francisco Fisherman's Wharf,1250 Columbus Ave,San Francisco,US,94133,,,Columbus,North Point and Bay,285,Host Hotels and Resorts (HST),sf-stregis.jpg,106346,expedia
19,San Francisco Marriott Marquis,55 4th St,San Francisco,US,94103,,,4th,Market and Mission,1499,Host Hotels and Resorts (HST),sf-marriottmarquis.jpg,120243,expedia
20,"The Ritz-Carlton, San Francisco",600 Stockton St,San Francisco,US,94108,,,Stockton,California and Pine,336,Host Hotels and Resorts (HST),sf-ritz.jpg,124533,expedia
21,The St. Regis San Francisco,125 3rd St,San Francisco,US,94103,,,3rd,Mission and Minna,368,Host Hotels and Resorts (HST),sf-stregis.jpg,235570,expedia
22,Hyatt Regency Washington DC,400 New Jersey Ave NW,Washington D C,US,20001,,,New Jersey Avenue,D Street and E Street,834,Host Hotels and Resorts (HST),dc-hyattcapitolhill.jpg,106037,expedia
23,J.W. Marriott Washington DC,1331 Pennsylvania Avenue NW,Washington D C,US,20004,,,Pennsylvania Avenue,13th and 14th,772,Host Hotels and Resorts (HST),dc-jwmarriott.jpg,106309,expedia
24,"The Westin Georgetown, Washington D.C.",2350 M St Nw,Washington D C,US,20037,,,M Street,23rd and 24th,267,Host Hotels and Resorts (HST),dc-westingeorgetown.jpg,130038,expedia
25,Washington Marriott at Metro Center,775 12th Street NW,Washington D C,US,20005,,,12th,G Street and H Street,459,Host Hotels and Resorts (HST),dc-marriottmetrocenter.jpg,107184,expedia
26,Grand Hyatt Washington,1000 H Street NW,Washington D C,US,20001,,,H Street,10th and 11th,888,Host Hotels and Resorts (HST),dc-grandhyatt.jpg,107272,expedia
27,The Plaza,Fifth Avenue at Central Park South,New York,US,10019,,,,,,,,105314,expedia
28,The Manhattan at Times Square Hotel,790 7th Ave,New York,US,10019,,,,,,,,6295,expedia
29,Grand Hyatt New York,109 East 42nd Street,New York,US,10017,,,,,,,,106069,expedia
30,"ONE UN New York, formerly Millennium UN Plaza Hotel",One United Nations Plaza,New York,US,10017,,,,,,,,106038,expedia
31,InterContinental New York Barclay,111 E 48th St,New York,US,10017,,,,,,,,106208,expedia
32,JW Marriott Essex House New York,160 Central Park S,New York,US,10019,,,,,,Strategic Hotels and Resorts (BEE),,106394,expedia
33,"The Ritz-Carlton New York, Central Park",50 Central Park S,New York,US,10019,,,,,,,,106256,expedia
34,Hilton Garden Inn Times Square,790 Eighth Ave.,New York,US,10019,,,,,,,,106930,expedia
35,The Gershwin Hotel,7 E 27th St,New York,US,10016,,,,,,,,109227,expedia
36,The New York Palace,455 Madison Ave,New York,US,10022,,,,,,,,109318,expedia
37,Park Central New York,870 7th Ave,New York,US,10019,,,,,,,,109277,expedia
38,Omni Berkshire Place,21 E 52nd Street,New York,US,10022,,,,,,,,109362,expedia
39,Holiday Inn New York City-Midtown-57th Street,440 W 57th St,New York,US,10019,,,,,,,,109376,expedia
40,The Lexington New York City,511 Lexington Ave at 48th St.,New York,US,10017,,,,,,DiamondRock Hospitality (DRH),,109730,expedia
41,Salisbury Hotel,123 W 57th St,New York,US,10019,,,,,,,,111484,expedia
42,Wellington Hotel,871 Seventh Ave,New York,US,10019,,,,,,,,112522,expedia
43,New York Hilton Midtown,1335 Avenue Of The Americas,New York,US,10019,,,,,,,,112922,expedia
44,The Waldorf Astoria New York,301 Park Ave,New York,US,10022,,,,,,,,112923,expedia
45,Hotel Plaza Athenee,37 E 64th St,New York,US,10065,,,,,,,,113922,expedia
46,Soho Grand Hotel,310 W Broadway,New York,US,10013,,,,,,,,114135,expedia
47,Novotel New York - Times Square,226 W 52nd St,New York,US,10019,,,,,,,,114036,expedia
48,Gramercy Park Hotel,2 Lexington Ave,New York,US,10010,,,,,,,,114697,expedia
49,The Mark,Madison Ave at 77th Street,New York,US,10075,,,,,,,,117020,expedia
50,Helmsley Park Lane Hotel,36 Central Park S,New York,US,10019,,,,,,,,114218,expedia
51,Comfort Inn Manhattan,42 W 35th St,New York,US,10001,,,,,,,,116175,expedia
52,The Edison Hotel,228 W 47th St,New York,US,10036,,,,,,,,117112,expedia
53,The London NYC,151 W 54th St,New York,US,10019,,,,,,,,117363,expedia
54,The Blakely New York,136 W 55th St,New York,US,10019,,,,,,,,116103,expedia
55,The Mansfield Hotel,12 W 44th St,New York,US,10036,,,,,,,,117801,expedia
56,Clarion Hotel Park Avenue,429 Park Ave S,New York,US,10016,,,,,,,,120257,expedia
57,Comfort Inn Chelsea,18 W 25th St,New York,US,10010,,,,,,,,119215,expedia
58,Cosmopolitan Hotel - Tribeca,95 West Broadway (at Chambers),New York,US,10007,,,,,,,,122267,expedia
59,The Lowell,28 East 63rd Street,New York,US,10065,,,,,,,,118630,expedia
60,NIGHT HOTEL TIMES SQUARE,157 West 47th Street,New York,US,10036,,,,,,,,120258,expedia
61,Royalton,44 W 44th St,New York,US,10036,,,,,,FelCor Lodging Trust (FCH),,120829,expedia
62,Hotel Wales,1295 Madison Ave,New York,US,10128,,,,,,,,121375,expedia
63,Travel Inn Hotel,515 W 42nd St,New York,US,10036,,,,,,,,121657,expedia
64,"Carlton Hotel, Autograph Collection",88 Madison Avenue,New York,US,10016,,,,,,,,122074,expedia
65,DoubleTree Suites by Hilton New York City - Times Square,1568 Broadway,New York,US,10036,,,,,,Sunstone Hotel Investors (SHO),,124573,expedia
66,Morgans,237 Madison Ave,New York,US,10016,,,,,,FelCor Lodging Trust (FCH),,120922,expedia
67,Washington Square Hotel,103 Waverly Pl,New York,US,10011,,,,,,,,122350,expedia
68,The Lucerne Hotel,201 W 79th St,New York,US,10024,,,,,,,,124901,expedia
69,The Lombardy,111 E 56th St,New York,US,10022,,,,,,,,122563,expedia
70,New York Marriott East Side,525 Lexington Ave,New York,US,10017,,,,,,,,125206,expedia
71,Excelsior Hotel,45 W 81st St,New York,US,10024,,,,,,,,125617,expedia
72,San Carlos Hotel,150 E 50th St,New York,US,10022,,,,,,,,125871,expedia
73,Trump International Hotel & Tower New York,1 Central Park W,New York,US,10023,,,,,,,,123947,expedia
74,The Tuscany - A St Giles Luxury Hotel,120 E 39th Street,New York,US,10016,,,,,,,,126896,expedia
75,"70 Park Avenue Hotel, a Kimpton Hotel",70 Park Ave,New York,US,10016,,,,,,,,126898,expedia
76,The Shoreham Hotel,33 W 55th St,New York,US,10019,,,,,,,,124094,expedia
77,Courtyard by Marriott New York City Manhattan Fifth Avenue,3 E 40th St,New York,US,10016,,,,,,DiamondRock Hospitality (DRH),,124700,expedia
78,Warwick New York Hotel,65 W 54th St,New York,US,10019,,,,,,,,125511,expedia
79,The Kitano New York,66 Park Ave,New York,US,10016,,,,,,,,126106,expedia
80,Renaissance New York Times Square Hotel,714 7th Ave,New York,US,10036,,,,,,,,128083,expedia
81,Eurostars Wall Street,129 Front Street A,New York,US,10005,,,,,,,,125480,expedia
82,Loews Regency Hotel,540 Park Avenue,New York,US,10065,,,,,,,,125509,expedia
83,The New Yorker Hotel,481 Eighth Ave.,New York,US,10001,,,,,,,,126913,expedia
84,"The Carlyle, A Rosewood Hotel",35 E 76th St,New York,US,10021,,,,,,,,129023,expedia
85,Jolly Hotel Madison Towers,22 East 38th St,New York,US,10016,,,,,,,,125636,expedia
86,Empire Hotel,44 W 63rd St,New York,US,10023,,,,,,,,125729,expedia
87,The Court - A St Giles Premier Hotel,130 East 39th Street,New York,US,10016,,,,,,,,126895,expedia
88,Holiday Inn SoHo,138 Lafayette St,New York,US,10013,,,,,,,,131689,expedia
89,Millenium Hilton,55 Church Street,New York,US,10007,,,,,,,,128996,expedia
90,Hilton Manhattan East,304 E 42nd St,New York,US,10017,,,,,,,,128770,expedia
91,"The Roosevelt Hotel, New York City",45 E 45th Street,New York,US,10017,,,,,,,,131795,expedia
92,Pod 51,230 E 51st St,New York,US,10022,,,,,,,,134540,expedia
93,The Michelangelo Hotel,152 W 51st St,New York,US,10019,,,,,,,,130744,expedia
94,The Franklin Hotel,164 E 87th St,New York,US,10128,,,,,,,,133146,expedia
95,HOTEL BEACON,2130 BROADWAY AT 75TH ST,New York,US,10023,,,,,,,,131170,expedia
96,Skyline Hotel,725 10th Ave,New York,US,10019,,,,,,,,131561,expedia
97,The Roger,131 Madison Ave,New York,US,10016,,,,,,LaSalle Hotel Properties (LHO),,135149,expedia
98,Milford Plaza Hotel,700 8th Avenue,New York,US,10036,,,,,,,,134388,expedia
99,The Marcel at Gramercy,201 E 24th St,New York,US,10010,,,,,,,,135539,expedia
100,"The Algonquin Hotel Times Square, Autograph Collection",59 W 44th St,New York,US,10036,,,,,,,,135096,expedia
101,Casablanca Hotel,147 W 43rd St,New York,US,10036,,,,,,,,139938,expedia
102,Hotel Newton,2528 Broadway,New York,US,10025,,,,,,,,140901,expedia
103,The Peninsula New York,700 Fifth Avenue at 55th street,New York,US,10019,,,,,,,,141417,expedia
104,BROADWAY AT TIMES SQUARE HOTEL,129 WEST 46TH STREET,New York,US,10036,,,,,,,,137840,expedia
105,Courtyard by Marriott New York City Manhattan Midtown East,866 3rd Avenue,New York,US,10022,,,,,,DiamondRock Hospitality (DRH),,138167,expedia
106,The Belvedere Hotel,319 W 48th St,New York,US,10036,,,,,,,,140893,expedia
107,Fitzpatrick Manhattan Hotel,687 Lexington Ave,New York,US,10022,,,,,,,,143688,expedia
108,Avalon Hotel,16 E 32nd Street,New York,US,10016,,,,,,,,144414,expedia
109,Hotel Pennsylvania,401 7th Ave,New York,US,10001,,,,,,,,142043,expedia
110,Hotel Elysee,60 E 54th St,New York,US,10022,,,,,,,,139910,expedia
111,Washington Jefferson Hotel,318 W 51st St,New York,US,10019,,,,,,,,139959,expedia
112,The Moderne,243 W 55th St,New York,US,10019,,,,,,,,140878,expedia
113,Americana Inn,69 W 38th St,New York,US,10018,,,,,,,,140899,expedia
114,Manhattan Broadway Budget Hotel,273 W 38th St,New York,US,10018,,,,,,,,140911,expedia
115,THE TIME,224 W 49th Street,New York,US,10019,,,,,,,,143863,expedia
116,Crowne Plaza Times Square Manhattan,1605 Broadway At 49th St,New York,US,10019,,,,,,,,148866,expedia
117,"The Paramount - A Times Square, New York Hotel",235 W 46th Street,New York,US,10036,,,,,,,,145146,expedia
118,On The Ave Hotel,2178 Broadway at W 77th St,New York,US,10024,,,,,,,,150310,expedia
119,Bentley Hotel,500 E 62nd St,New York,US,10065,,,,,,,,143951,expedia
120,Fitzpatrick Grand Central,141 E 44th St,New York,US,10017,,,,,,,,144360,expedia
121,Millennium Broadway Hotel - Times Square,145 W 44th St,New York,US,10036,,,,,,,,150387,expedia
122,Days Hotel Broadway,215 W 94th St,New York,US,10025,,,,,,,,150406,expedia
123,Comfort Inn Central Park West,31 W 71st St,New York,US,10023,,,,,,,,153584,expedia
124,Mayfair New York,242 W 49th St,New York,US,10019,,,,,,,,152238,expedia
125,Best Western Plus President Hotel at Times Square,234 W 48th St,New York,US,10036,,,,,,,,163194,expedia
126,Radisson Martinique on Broadway,49 W 32nd St,New York,US,10001,,,,,,,,149429,expedia
127,Hampton Inn Times Square North,851 8th Ave,New York,US,10019,,,,,,Hersha Hospitality (HT),,163790,expedia
128,The Iroquois,49 West 44th Street,New York,US,10036,,,,,,,,163794,expedia
129,Hotel Sofitel New York,45 W 44th St,New York,US,10036,,,,,,,,163820,expedia
130,King & Grove New York,29 East 29th Street,New York,US,10016,,,,,,,,163823,expedia
131,Ameritania at Times Square,230 W 54th Street,New York,US,10019,,,,,,,,163728,expedia
132,Amsterdam Court Hotel,226 W 50th St,New York,US,10019,,,,,,,,163758,expedia
133,Hotel Belleclaire,250 W 77th St,New York,US,10024,,,,,,,,163765,expedia
134,Club Quarters Midtown - Times Square,40 W 45th St,New York,US,10036,,,,,,,,163809,expedia
135,Conrad New York,102 North End Avenue,New York,US,10282,,,,,,,,169343,expedia
136,Belnord Hotel,209 West 87th Street,New York,US,10024,,,,,,,,163766,expedia
137,Hilton Times Square,234 W 42nd St,New York,US,10036,,,,,,Sunstone Hotel Investors (SHO),,163777,expedia
138,Hotel Grand Union,34 E 32nd St,New York,US,10016,,,,,,,,163785,expedia
139,DoubleTree by Hilton Metropolitan - New York City,569 Lexington Ave,New York,US,10022,,,,,,RLJ Lodging Trust (RLJ),,163796,expedia
140,Tribeca Grand Hotel,2 Avenue Of The Americas,New York,US,10013,,,,,,,,164312,expedia
141,"Gild Hall, A Thompson Hotel",15 Gold Street,New York,US,10038,,,,,,LaSalle Hotel Properties (LHO),,152696,expedia
142,The Library Hotel,299 Madison Ave,New York,US,10017,,,,,,,,170510,expedia
143,Hotel Giraffe,365 Park Ave S,New York,US,10016,,,,,,,,170490,expedia
144,Hudson,356 W 58th St,New York,US,10019,,,,,,,,172653,expedia
