key,source,name,address,city,country,zipcode
279861,venere,Hotel Kolfuschgerhof,Via Ronn 7,Corvara in Badia,IT,39033
330337,venere,Sporthotel Panorama,Strada Sciuz 1,Corvara in Badia,IT,39033
363469,venere,Col Alto,Strada Col Alto 9,Corvara in Badia,IT,39033
365511,venere,Sassongher,Via Sassongher 45,Corvara in Badia,IT,39033
375621,venere,Greif,Via Parus 15,Corvara in Badia,IT,39033
419155,venere,Garni Delta,Via Roenn 11,Corvara In Badia,IT,39033
399390,expedia,HOTEL SASSONGHER,Str Sassongher 45,Corvara,IT,39033
228143,expedia,Domina Home Miramonti,"Via Andrea Maffei, 1",Corvara in Badia,IT,39033
235624,expedia,HOTEL LA PERLA,Strada Col Alt 105,Corvara in Badia,IT,39033
105314,expedia,The Plaza,Fifth Avenue at Central Park South,New York,US,10019
6295,expedia,The Manhattan at Times Square Hotel,790 7th Ave,New York,US,10019
105816,expedia,Sheraton New York Times Square Hotel,811 7th Ave,New York,US,10019
106069,expedia,Grand Hyatt New York,109 East 42nd Street,New York,US,10017
106038,expedia,"ONE UN New York, formerly Millennium UN Plaza Hotel",One United Nations Plaza,New York,US,10017
106208,expedia,InterContinental New York Barclay,111 E 48th St,New York,US,10017
106394,expedia,JW Marriott Essex House New York,160 Central Park S,New York,US,10019
106256,expedia,"The Ritz-Carlton New York, Central Park",50 Central Park S,New York,US,10019
106930,expedia,Hilton Garden Inn Times Square,790 Eighth Ave.,New York,US,10019
109227,expedia,The Gershwin Hotel,7 E 27th St,New York,US,10016
109318,expedia,The New York Palace,455 Madison Ave,New York,US,10022
109277,expedia,Park Central New York,870 7th Ave,New York,US,10019
109362,expedia,Omni Berkshire Place,21 E 52nd Street,New York,US,10022
109376,expedia,Holiday Inn New York City-Midtown-57th Street,440 W 57th St,New York,US,10019
109730,expedia,The Lexington New York City,511 Lexington Ave at 48th St.,New York,US,10017
111484,expedia,Salisbury Hotel,123 W 57th St,New York,US,10019
112522,expedia,Wellington Hotel,871 Seventh Ave,New York,US,10019
112922,expedia,New York Hilton Midtown,1335 Avenue Of The Americas,New York,US,10019
112923,expedia,The Waldorf Astoria New York,301 Park Ave,New York,US,10022
113922,expedia,Hotel Plaza Athenee,37 E 64th St,New York,US,10065
114135,expedia,Soho Grand Hotel,310 W Broadway,New York,US,10013
114036,expedia,Novotel New York - Times Square,226 W 52nd St,New York,US,10019
114697,expedia,Gramercy Park Hotel,2 Lexington Ave,New York,US,10010
115902,expedia,New York Marriott Marquis,1535 Broadway,New York,US,10036
117020,expedia,The Mark,Madison Ave at 77th Street,New York,US,10075
114218,expedia,Helmsley Park Lane Hotel,36 Central Park S,New York,US,10019
116175,expedia,Comfort Inn Manhattan,42 W 35th St,New York,US,10001
117112,expedia,The Edison Hotel,228 W 47th St,New York,US,10036
117363,expedia,The London NYC,151 W 54th St,New York,US,10019
116103,expedia,The Blakely New York,136 W 55th St,New York,US,10019
117801,expedia,The Mansfield Hotel,12 W 44th St,New York,US,10036
120257,expedia,Clarion Hotel Park Avenue,429 Park Ave S,New York,US,10016
119215,expedia,Comfort Inn Chelsea,18 W 25th St,New York,US,10010
122267,expedia,Cosmopolitan Hotel - Tribeca,95 West Broadway (at Chambers),New York,US,10007
118630,expedia,The Lowell,28 East 63rd Street,New York,US,10065
120258,expedia,NIGHT HOTEL TIMES SQUARE,157 West 47th Street,New York,US,10036
120829,expedia,Royalton,44 W 44th St,New York,US,10036
121375,expedia,Hotel Wales,1295 Madison Ave,New York,US,10128
121657,expedia,Travel Inn Hotel,515 W 42nd St,New York,US,10036
122074,expedia,"Carlton Hotel, Autograph Collection",88 Madison Avenue,New York,US,10016
124573,expedia,DoubleTree Suites by Hilton New York City - Times Square,1568 Broadway,New York,US,10036
120922,expedia,Morgans,237 Madison Ave,New York,US,10016
122350,expedia,Washington Square Hotel,103 Waverly Pl,New York,US,10011
124901,expedia,The Lucerne Hotel,201 W 79th St,New York,US,10024
122563,expedia,The Lombardy,111 E 56th St,New York,US,10022
125206,expedia,New York Marriott East Side,525 Lexington Ave,New York,US,10017
125617,expedia,Excelsior Hotel,45 W 81st St,New York,US,10024
125871,expedia,San Carlos Hotel,150 E 50th St,New York,US,10022
123947,expedia,Trump International Hotel & Tower New York,1 Central Park W,New York,US,10023
124520,expedia,New York Marriott Downtown,85 West St,New York,US,10006
126896,expedia,The Tuscany - A St Giles Luxury Hotel,120 E 39th Street,New York,US,10016
126898,expedia,"70 Park Avenue Hotel, a Kimpton Hotel",70 Park Ave,New York,US,10016
124094,expedia,The Shoreham Hotel,33 W 55th St,New York,US,10019
124700,expedia,Courtyard by Marriott New York City Manhattan Fifth Avenue,3 E 40th St,New York,US,10016
125511,expedia,Warwick New York Hotel,65 W 54th St,New York,US,10019
126106,expedia,The Kitano New York,66 Park Ave,New York,US,10016
128083,expedia,Renaissance New York Times Square Hotel,714 7th Ave,New York,US,10036
125480,expedia,Eurostars Wall Street,129 Front Street A,New York,US,10005
125509,expedia,Loews Regency Hotel,540 Park Avenue,New York,US,10065
126897,expedia,W New York,541 Lexington Ave,New York,US,10022
126913,expedia,The New Yorker Hotel,481 Eighth Ave.,New York,US,10001
129023,expedia,"The Carlyle, A Rosewood Hotel",35 E 76th St,New York,US,10021
125636,expedia,Jolly Hotel Madison Towers,22 East 38th St,New York,US,10016
125729,expedia,Empire Hotel,44 W 63rd St,New York,US,10023
126895,expedia,The Court - A St Giles Premier Hotel,130 East 39th Street,New York,US,10016
131689,expedia,Holiday Inn SoHo,138 Lafayette St,New York,US,10013
128996,expedia,Millenium Hilton,55 Church Street,New York,US,10007
128770,expedia,Hilton Manhattan East,304 E 42nd St,New York,US,10017
